{	LCURLY
}	RCURLY
[	LSQUARE
]	RSQUARE
(	LPAREN
)	RPAREN
.	DOT
,	COMMA
:	COLON
;	SEMI
+	PLUS
-	MINUS
*	STAR
/	SLASH
%	PERCENT
&	AMPERSAND
|	BAR
^	CARAT
!	BANG
~	TILDE
=	EQ
<	LESS
>	GREATER
?	QMARK
++	PLUSPLUS
--	MINUSMINUS
&&	AMPAMP
||	BARBAR
<<	LESSLESS
>>	GREATERGREATER
==	EQEQ
!=	NEQ
<=	LEQ
>=	GEQ
+=	PLUSEQ
-=	MINUSEQ
*=	STAREQ
/=	SLASHEQ
%=	PERCENTEQ
&=	AMPEQ
|=	BAREQ
^=	CARATEQ
<<=	LLEQ
>>=	GGEQ
->	DASHANGLE
